mensagem,imagem
"🔥 OFERTA DO DIA! 📦 Celular Samsung Galaxy A26 5g 256gb, 8gb Ram, Câmera De 50mp, Ip67, Tela Super Amoled 6.7 , Nfc - Preto  💰 De: R$1.998 🔻 Por: R$1.389 💸 30% OFF no Pix 💳 ou R$1.477 em 12x R$123,16 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2HAbm73","imagens\celular_samsung_galaxy_a26_5g_256gb_8gb_ram_cmera_.jpg"
"🔥 OFERTA DO DIA! 📦 Smart Tv 32 Philco Led Roku Tv Hd Dolby Audio P32cra  💰 De: R$1.284 🔻 Por: R$885,21 💸 31% OFF no Pix 💳 ou R$983,57 em 12x R$81,96 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2ZodZ2Y","imagens\smart_tv_32_philco_led_roku_tv_hd_dolby_audio_p32c.jpg"
"🔥 OFERTA DO DIA! 📦 Kit 4 Cuecas Boxer Box Lupo Algodão Respirável Original  💰 De: R$128,20 🔻 Por: R$69,60 💸 45% OFF 💳 em 12x R$6,84 📦 Frete grátis  👉 https://mercadolivre.com/sec/2rhf79g","imagens\kit_4_cuecas_boxer_box_lupo_algodo_respirvel_origi.jpg"
"🔥 OFERTA DO DIA! 📦 Natura Una Artisan Deo Parfum 75ml Feminino  💰 De: R$319 🔻 Por: R$182,11 💸 42% OFF 💳 em 6x R$30,35 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2aRh3rR","imagens\natura_una_artisan_deo_parfum_75ml_feminino.jpg"
"🔥 OFERTA DO DIA! 📦 Calça Jeans Feminina Cargo Levanta Bumbum Cintura Alta  💰 De: R$69,99 🔻 Por: R$67,89 💸 3% OFF 💳 em 12x R$6,68 📦 Frete grátis  👉 https://mercadolivre.com/sec/2FpsMEP","imagens\cala_jeans_feminina_cargo_levanta_bumbum_cintura_a.jpg"
"🔥 OFERTA DO DIA! 📦 Celular Samsung Galaxy A16, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Verde Claro  💰 De: R$1.855 🔻 Por: R$1.134 💸 38% OFF no Pix 💳 ou R$1.288 em 12x R$107,41 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1Pc9Qo3","imagens\celular_samsung_galaxy_a16_256gb_8gb_ram_cmera_de_.jpg"
"🔥 OFERTA! 📦 Kit 6 Cuecas Boxer Polo Wear Original Microfibra Sem Costura  💰 De: R$78,90 🔻 Por: R$63,90 💸 19% OFF 💳 em 12x R$6,28 📦 Frete grátis  👉 ⚠️ Este URL não é permitido pelo Programa.","imagens\kit_6_cuecas_boxer_polo_wear_original_microfibra_s.jpg"
"🔥 OFERTA! 📦 Smartphone Motorola Moto G34 5g - 128gb 8gb (4gb Ram+4gb Ram Boost) Ai Camera 50mp Nfc - Azul  💰 De: R$1.299 🔻 Por: R$919 💸 29% OFF 💳 em 12x R$76,58 sem juros 📦 Frete grátis  👉 ⚠️ Este URL não é permitido pelo Programa.","imagens\smartphone_motorola_moto_g34_5g_128gb_8gb_4gb_ram4.jpg"
"🔥 OFERTA! 📦 Perfume Attracione Men By Attracione 25 Ml  💰 De: R$249 🔻 Por: R$114,54 💸 54% OFF 💳 em 12x R$11,26 📦 Frete grátis  👉 ⚠️ Este URL não é permitido pelo Programa.","imagens\perfume_attracione_men_by_attracione_25_ml.jpg"
"🔥 OFERTA DO DIA! 📦 Aspirador De Pó Turbo Cycle Mondial Vermelho/preto Ap-40-r  💰 De: R$299,90 🔻 Por: R$169,90 💸 43% OFF 💳 em 6x R$28,32 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1GKGDqc","imagens\aspirador_de_p_turbo_cycle_mondial_vermelhopreto_a.jpg"
"🔥 OFERTA DO DIA! 📦 Kit 10 Cuecas Masculinas Boxer Microfibra Polo Wear Sortido  💰 De: R$199,99 🔻 Por: R$108,63 💸 45% OFF 💳 em 4x R$27,16 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2LEEiyS","imagens\kit_10_cuecas_masculinas_boxer_microfibra_polo_wea.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv LG 43 Led Fhd Hdr Hdmi Wi-fi Thinq Ai Airplay Alexa  💰 De: R$2.284 🔻 Por: R$1.507 💸 33% OFF no Pix 💳 ou R$1.639 em 12x R$136,58 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/26ybjuD","imagens\smart_tv_lg_43_led_fhd_hdr_hdmi_wifi_thinq_ai_airp.jpg"
